StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage," "," ",Pref. (White asc.),Pref. (White desc.),Pref. (Black asc.),Pref. (Black desc.),Pref. explanation,Birth year,Gender,Gender_5_TEXT,"Hispanic ",Race,Political aff.,Political aff._4_TEXT,Independent Q,Education,Income
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Comprehension 1,Comprehension 2,"Now imagine that you live in Metropolis. The city has $10,000 to provide people with free rides to court. How would you distribute the free rides across the city's Black and White populations? 50% of the city's inhabitants are Black, and 50% are White.



The figure below shows five options for spending your city's budget. Each one has a different number of rides for White and Black people, but all cost $10,000. $10,000 is the annual budget for the next 5 years.



Please select your preferred option to distribute the $10,000. Your responses will remain anonymous.","Now imagine that you live in Metropolis. The city has $10,000 to provide people with free rides to court. How would you distribute the free rides across the city's Black and White populations? 50% of the city's inhabitants are Black, and 50% are White.



The figure below shows five options for spending your city's budget. Each one has a different number of rides for White and Black people, but all cost $10,000. $10,000 is the annual budget for the next 5 years.



Please select your preferred option to distribute the $10,000. Your responses will remain anonymous.","Now imagine that you live in Metropolis. The city has $10,000 to provide people with free rides to court. How would you distribute the free rides across the city's Black and White populations? 50% of the city's inhabitants are Black, and 50% are White.



The figure below shows five options for spending your city's budget. Each one has a different number of rides for White and Black people, but all cost $10,000. $10,000 is the annual budget for the next 5 years.



Please select your preferred option to distribute the $10,000. Your responses will remain anonymous.","Now imagine that you live in Metropolis. The city has $10,000 to provide people with free rides to court. How would you distribute the free rides across the city's Black and White populations? 50% of the city's inhabitants are Black, and 50% are White.



The figure below shows five options for spending your city's budget. Each one has a different number of rides for White and Black people, but all cost $10,000. $10,000 is the annual budget for the next 5 years.



Please select your preferred option to distribute the $10,000. Your responses will remain anonymous.",Please explain why you preferred your chosen allocation scenario.,What is your year of birth?,What is your gender? - Selected Choice,What is your gender? - A gender identity not listed here - Text,"Are you of Spanish, Hispanic, or Latino origin?",Choose one or more races that you consider yourself to be,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text","As an independent, do you lean Republican or Democrat?",What is the highest level of education you have completed?,Please indicate the answer that includes your entire household income in (previous year) before taxes.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID49""}","{""ImportId"":""QID46""}","{""ImportId"":""QID38""}","{""ImportId"":""QID42""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_5_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_4_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}"
2022-11-15 13:47:37,2022-11-15 13:48:35,Survey Preview,,100,58,True,2022-11-15 13:48:36,R_AI1rBTVoQalF2jn,,,,,42.3912,-71.0882,preview,EN,5 people who live far from court,5 White people,,Option C,,,,1996,Woman,,Yes,White or Caucasian,Democrat,,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$30,000 to $39,999"
2022-11-28 10:40:30,2022-11-28 10:54:52,Survey Preview,,100,862,True,2022-11-28 10:54:53,R_1QMk1a0RLPNkWHC,,,,,42.3737,-71.1284,preview,EN,5 people who live far from court,5 Black people,,,Option B,,aslkdfj,2322,Woman,,Yes,"White or Caucasian,American Indian/Native American or Alaska Native",Republican,,,Some high school or less,"Less than $10,000"
2022-11-28 11:07:57,2022-11-28 11:13:26,Survey Preview,,100,329,True,2022-11-28 11:13:27,R_1jfBbA1FMxrmlMO,,,,,38.6096,-121.4443,preview,EN,5 people who live far from court,5 White people,Option C,,,,That's what I prefer,1980,Man,,No,White or Caucasian,Democrat,,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Prefer not to say
2022-11-28 13:00:48,2022-11-28 13:24:30,Survey Preview,,100,1422,True,2022-11-28 13:24:31,R_21BdqUD79hG2sxp,,,,,37.4405,-122.1478,preview,EN,5 people who live far from court,5 Black people,,,,Option D,Becuz,1900,Prefer not to say,,No,Prefer not to say,No preference,,,Prefer not to say,Prefer not to say
2022-12-02 10:41:42,2022-12-02 10:44:56,IP Address,136.34.162.93,100,193,True,2022-12-02 10:44:56,R_38BwcXZzgpXwdOx,,,,,38.9321,-94.4983,anonymous,EN,5 people who live far from court,5 White people,Option C,,,,This feels like a more balanced and fair allocation for each race allowing for a system that is better for the courts.,1989,Man,,No,White or Caucasian,Republican,,,Bachelor’s degree,"$100,000 to $149,999"
2022-12-02 10:44:43,2022-12-02 10:47:18,IP Address,174.192.15.211,100,155,True,2022-12-02 10:47:19,R_33sezvmAdO3jySV,,,,,41.7689,-71.4758,anonymous,EN,5 people who live far from court,5 Black people,,,,Option D,More people were ultimately helped with this version of allocating the funds.,1993,Man,,Yes,White or Caucasian,Democrat,,,"Some college, but no degree","$90,000 to $99,999"
2022-12-02 10:44:57,2022-12-02 10:50:06,IP Address,97.94.52.102,100,309,True,2022-12-02 10:50:07,R_3f5hXfq2nF70G7n,,,,,43.1863,-88.9885,anonymous,EN,5 people who live far from court,5 Black people,,,,Option B,"I chose the most resonable outcome of avoiding jail while thinking about how more expensive it is for black vs white people it is to make it to the courthouse. ",1992,Man,,No,White or Caucasian,Independent,,Democrat,Associates or technical degree,"$50,000 to $59,999"
2022-12-02 10:54:54,2022-12-02 10:56:11,IP Address,67.169.90.199,100,76,True,2022-12-02 10:56:11,R_1kHO8cgT8yeYZ5Z,,,,,37.7201,-122.4414,anonymous,EN,5 people who live far from court,5 Black people,,,,Option D,I chose option D because it allows the most people to avoid jail time.,1983,Man,,Yes,Asian,Republican,,,Bachelor’s degree,"$60,000 to $69,999"
2022-12-02 10:53:48,2022-12-02 10:57:13,IP Address,104.180.135.193,100,205,True,2022-12-02 10:57:14,R_1is1g1ULn4XLDCW,,,,,36.9454,-83.9868,anonymous,EN,5 people who live far from court,5 White people,Option C,,,,"50% of each population is more fair ",1986,Man,,No,White or Caucasian,Republican,,,"Some college, but no degree","$40,000 to $49,999"
2022-12-02 10:55:46,2022-12-02 11:01:07,IP Address,204.111.137.25,100,320,True,2022-12-02 11:01:08,R_1Klia4gGLwbSIet,,,,,38.1551,-79.0608,anonymous,EN,5 people who live far from court,5 White people,,Option C,,,"I chose this because without have statistic as to which race had more scheduled court appearances, the only fair decision was to allocate to each race equally. My opinion could be different if more information was given, such as which race more frequently reports missing court appearances as a result of lack of transportation, which race has more scheduled court appearances, which race benefits most from the ride assistance, etc.  ",1976,Woman,,No,White or Caucasian,Independent,,Republican,"Some college, but no degree","$30,000 to $39,999"
2022-12-02 10:59:38,2022-12-02 11:02:07,IP Address,74.199.27.86,100,149,True,2022-12-02 11:02:07,R_3lWI4oGuqTlhdiH,,,,,32.9758,-80.1869,anonymous,EN,5 people who live far from court,5 Black people,,,,Option D,Highest number of people not going to jail,1960,Woman,,No,White or Caucasian,Republican,,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
2022-12-02 10:55:46,2022-12-02 11:02:39,IP Address,107.135.74.72,100,412,True,2022-12-02 11:02:39,R_2SekqLJZ6MolyKY,,,,,30.3608,-91.0917,anonymous,EN,5 people who live far from court,5 White people,,Option C,,,"I wanted to be fair and give Black and White people the opportunity to get to court. ",1992,Woman,,No,Black or African American,Independent,,Democrat,Associates or technical degree,"$50,000 to $59,999"
2022-12-02 11:02:14,2022-12-02 11:03:40,IP Address,65.110.254.176,100,85,True,2022-12-02 11:03:40,R_2V4MwKczJA36vsa,,,,,42.0373,-93.6005,anonymous,EN,5 people who live far from court,5 Black people,,,Option E,,"I think it's the most fair option considering by and large, black people live farther away from the courthouse.",2002,Man,,No,Asian,Democrat,,,"Some college, but no degree","$60,000 to $69,999"
2022-12-02 11:03:13,2022-12-02 11:04:14,IP Address,97.97.18.20,100,60,True,2022-12-02 11:04:15,R_2f0xmVnodLq5J4a,,,,,28.2683,-82.2912,anonymous,EN,5 people who live far from court,5 Black people,,,Option C,,50/50 seems fair and unbiased.,1999,Man,,No,White or Caucasian,Democrat,,,Bachelor’s degree,"$20,000 to $29,999"
